@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
2.0,1.0,7.0,0
0.0,3.0,0.0,0
14.0,102.0,175.0,0
10.0,5.0,2.0,0
28.0,180.0,19.0,0
5.0,7.0,4.0,0
49.0,236.0,170.0,0
18.0,10.0,3.0,0
25.0,131.0,41.0,0
0.0,3.0,2.0,0
6.0,180.0,163.0,0
5.0,0.0,0.0,0
8.0,3.0,3.0,0
1.0,4.0,3.0,0
11.0,49.0,25.0,0
3.0,6.0,15.0,0
0.0,8.0,0.0,0
3.0,6.0,0.0,0
7.0,27.0,5.0,0
139.0,122.0,85.0,0
14.0,62.0,45.0,0
0.0,1.0,0.0,0
35.0,92.0,82.0,0
17.0,5.0,16.0,0
4.0,4.0,5.0,0
3.0,6.0,3.0,0
38.0,27.0,5.0,0
0.0,11.0,0.0,0
1.0,4.0,0.0,0
1.0,5.0,2.0,0
4.0,22.0,8.0,0
0.0,30.0,0.0,0
0.0,1.0,6.0,0
1.0,4.0,5.0,0
3.0,2.0,4.0,0
4.0,33.0,20.0,0
10.0,16.0,1.0,0
0.0,16.0,1.0,0
38.0,42.0,10.0,1
51.0,66.0,33.0,1
85.0,29.0,19.0,1
3.0,6.0,4.0,1
5.0,19.0,5.0,1
20.0,25.0,1.0,1
23.0,22.0,27.0,1
8.0,26.0,8.0,1
28.0,15.0,8.0,1
39.0,50.0,54.0,1
55.0,72.0,38.0,1
59.0,22.0,16.0,1
54.0,107.0,80.0,1
32.0,113.0,31.0,1
16.0,3.0,6.0,1
69.0,88.0,102.0,1
9.0,3.0,0.0,1
13.0,21.0,7.0,1
61.0,14.0,57.0,1
12.0,5.0,4.0,1
17.0,14.0,11.0,1
5.0,4.0,5.0,1
25.0,106.0,16.0,1
8.0,3.0,9.0,1
14.0,31.0,11.0,1
35.0,42.0,21.0,1
20.0,6.0,1.0,1
58.0,118.0,38.0,1
32.0,46.0,6.0,1
74.0,92.0,23.0,1
5.0,4.0,29.0,1
13.0,21.0,20.0,1
40.0,36.0,7.0,1
59.0,35.0,16.0,1
19.0,23.0,11.0,1
41.0,17.0,37.0,1
16.0,40.0,13.0,1
48.0,56.0,35.0,1
30.0,24.0,11.0,1
20.0,9.0,5.0,1
13.0,57.0,14.0,1
16.0,56.0,84.0,1
34.0,74.0,13.0,1
39.0,36.0,14.0,1
9.0,6.0,1.0,1
21.0,15.0,13.0,1
25.0,3.0,0.0,1
4.0,1.0,1.0,1
6.0,4.0,1.0,1
33.0,26.0,12.0,1
31.0,13.0,6.0,1
23.0,52.0,41.0,1
245.0,167.0,165.0,1
98.0,218.0,170.0,1
10.0,26.0,17.0,1
29.0,23.0,27.0,1
20.0,3.0,1.0,1
5.0,105.0,11.0,1
92.0,146.0,147.0,1
33.0,46.0,9.0,1
10.0,13.0,4.0,1
21.0,4.0,1.0,1
2.0,3.0,0.0,1
0.0,19.0,6.0,1
22.0,9.0,5.0,1
56.0,102.0,62.0,1
16.0,0.0,7.0,1
72.0,211.0,36.0,1
41.0,244.0,80.0,1
33.0,16.0,3.0,1
9.0,3.0,7.0,1
31.0,5.0,12.0,1
16.0,34.0,15.0,1
5.0,27.0,21.0,1
17.0,6.0,2.0,1
44.0,10.0,35.0,1
43.0,54.0,35.0,1
35.0,55.0,56.0,1
15.0,12.0,4.0,1
14.0,19.0,5.0,1
33.0,8.0,19.0,1
38.0,20.0,12.0,1
12.0,9.0,14.0,1
12.0,8.0,9.0,1
43.0,25.0,30.0,1
13.0,67.0,11.0,1
40.0,51.0,57.0,1
23.0,17.0,28.0,1
16.0,22.0,14.0,1
18.0,6.0,5.0,1
7.0,11.0,1.0,1
3.0,37.0,67.0,1
2.0,5.0,2.0,1
13.0,58.0,68.0,1
5.0,11.0,0.0,1
23.0,4.0,1.0,1
17.0,24.0,5.0,1
9.0,16.0,0.0,1
30.0,61.0,89.0,1
16.0,66.0,36.0,1
32.0,12.0,5.0,1
24.0,10.0,3.0,1
24.0,31.0,4.0,1
10.0,34.0,22.0,1
47.0,116.0,26.0,1
27.0,19.0,14.0,1
5.0,33.0,25.0,1
6.0,21.0,4.0,1
16.0,6.0,3.0,1
21.0,37.0,18.0,1
23.0,14.0,3.0,1
8.0,11.0,4.0,1
28.0,9.0,34.0,1
14.0,18.0,7.0,1
27.0,31.0,21.0,1
21.0,14.0,6.0,1
27.0,40.0,9.0,1
17.0,11.0,1.0,1
76.0,74.0,32.0,1
123.0,139.0,148.0,1
23.0,5.0,14.0,1
9.0,15.0,3.0,1
73.0,82.0,24.0,1
13.0,16.0,1.0,1
17.0,47.0,25.0,1
16.0,23.0,9.0,1
28.0,47.0,13.0,1
23.0,39.0,16.0,1
51.0,68.0,49.0,1
20.0,22.0,2.0,1
24.0,31.0,7.0,1
25.0,4.0,4.0,1
12.0,67.0,7.0,1
16.0,42.0,3.0,1
6.0,4.0,2.0,1
25.0,27.0,14.0,1
6.0,15.0,10.0,1
11.0,18.0,13.0,1
76.0,87.0,42.0,1
57.0,123.0,89.0,1
48.0,200.0,100.0,1
13.0,65.0,32.0,1
20.0,16.0,4.0,1
