@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
2.0,10.0,4.0,0
74.0,26.0,16.0,0
154.0,44.0,61.0,0
140.0,40.0,12.0,0
79.0,55.0,10.0,0
7.0,3.0,11.0,0
9.0,6.0,14.0,0
7.0,4.0,7.0,0
44.0,27.0,34.0,0
2.0,0.0,4.0,0
47.0,22.0,66.0,0
251.0,48.0,38.0,0
0.0,1.0,0.0,0
44.0,5.0,0.0,0
18.0,3.0,0.0,0
4.0,3.0,12.0,0
199.0,107.0,223.0,0
22.0,1.0,0.0,0
4.0,1.0,1.0,0
10.0,7.0,1.0,0
4.0,2.0,1.0,0
273.0,399.0,195.0,0
900.0,330.0,437.0,0
54.0,5.0,21.0,0
5.0,5.0,1.0,0
21.0,10.0,3.0,0
9.0,4.0,3.0,0
14.0,13.0,32.0,0
31.0,18.0,24.0,0
1.0,1.0,2.0,0
35.0,10.0,6.0,0
66.0,7.0,1.0,0
136.0,49.0,56.0,0
3.0,4.0,3.0,0
1.0,0.0,0.0,0
382.0,136.0,113.0,0
31.0,16.0,13.0,0
4.0,2.0,0.0,0
119.0,46.0,13.0,0
10.0,14.0,34.0,0
3.0,13.0,0.0,0
5.0,8.0,23.0,0
13.0,10.0,13.0,0
92.0,70.0,71.0,0
168.0,54.0,199.0,0
12.0,14.0,9.0,0
1.0,5.0,4.0,0
9.0,27.0,2.0,0
34.0,27.0,44.0,0
3.0,0.0,4.0,0
7.0,1.0,131.0,0
17.0,3.0,0.0,0
25.0,7.0,14.0,0
30.0,9.0,19.0,0
123.0,29.0,20.0,0
14.0,4.0,0.0,0
11.0,10.0,6.0,0
31.0,27.0,31.0,0
2.0,26.0,0.0,0
15.0,56.0,12.0,0
56.0,6.0,8.0,0
15.0,7.0,95.0,0
12.0,3.0,58.0,0
1.0,14.0,8.0,0
15.0,7.0,1.0,0
16.0,31.0,46.0,0
136.0,106.0,86.0,0
14.0,1.0,2.0,0
34.0,27.0,22.0,0
62.0,7.0,27.0,0
1.0,6.0,2.0,0
1.0,6.0,2.0,0
13.0,1.0,0.0,0
10.0,3.0,7.0,0
26.0,2.0,3.0,0
63.0,23.0,19.0,0
28.0,33.0,19.0,0
36.0,11.0,21.0,0
4.0,0.0,0.0,0
14.0,43.0,23.0,0
15.0,1.0,5.0,0
11.0,7.0,2.0,0
34.0,22.0,5.0,0
38.0,2.0,1.0,0
165.0,65.0,82.0,0
61.0,31.0,10.0,0
9.0,4.0,2.0,0
53.0,11.0,45.0,0
4.0,2.0,0.0,0
15.0,8.0,10.0,0
134.0,52.0,70.0,0
60.0,6.0,20.0,0
42.0,13.0,9.0,0
8.0,1.0,9.0,0
1.0,12.0,0.0,0
505.0,114.0,84.0,0
7.0,0.0,1.0,0
42.0,29.0,7.0,0
9.0,3.0,5.0,0
7.0,14.0,19.0,0
37.0,36.0,8.0,0
8.0,15.0,3.0,0
5.0,1.0,2.0,0
41.0,41.0,37.0,0
70.0,27.0,8.0,0
43.0,10.0,34.0,0
6.0,2.0,5.0,0
386.0,12.0,228.0,0
39.0,23.0,11.0,0
24.0,70.0,73.0,0
13.0,10.0,3.0,0
303.0,42.0,254.0,0
4.0,4.0,7.0,0
27.0,3.0,6.0,0
6.0,0.0,2.0,0
7.0,18.0,2.0,0
17.0,4.0,6.0,0
8.0,0.0,26.0,0
195.0,71.0,119.0,0
8.0,1.0,12.0,0
66.0,18.0,31.0,0
14.0,3.0,15.0,0
15.0,3.0,2.0,0
146.0,193.0,161.0,0
61.0,25.0,3.0,0
2.0,5.0,1.0,0
1.0,9.0,4.0,0
25.0,9.0,3.0,0
3.0,4.0,1.0,0
146.0,29.0,6.0,0
16.0,2.0,2.0,0
12.0,3.0,61.0,0
20.0,17.0,23.0,0
7.0,1.0,0.0,0
104.0,20.0,20.0,0
5.0,21.0,0.0,0
9.0,16.0,11.0,0
2.0,0.0,4.0,0
11.0,0.0,2.0,0
1.0,0.0,0.0,0
328.0,98.0,142.0,0
37.0,30.0,47.0,0
31.0,12.0,3.0,0
42.0,20.0,12.0,0
50.0,24.0,14.0,1
16.0,14.0,12.0,1
44.0,72.0,42.0,1
1.0,1.0,4.0,1
2.0,1.0,2.0,1
32.0,38.0,26.0,1
24.0,20.0,10.0,1
49.0,46.0,38.0,1
5.0,6.0,1.0,1
6.0,28.0,12.0,1
76.0,58.0,60.0,1
9.0,13.0,3.0,1
11.0,22.0,6.0,1
56.0,64.0,77.0,1
15.0,19.0,2.0,1
26.0,29.0,38.0,1
23.0,87.0,32.0,1
17.0,8.0,8.0,1
9.0,13.0,5.0,1
59.0,50.0,37.0,1
22.0,28.0,26.0,1
34.0,7.0,1.0,1
26.0,10.0,17.0,1
30.0,42.0,7.0,1
46.0,43.0,11.0,1
36.0,97.0,78.0,1
11.0,29.0,10.0,1
33.0,35.0,12.0,1
2.0,7.0,4.0,1
31.0,45.0,7.0,1
13.0,22.0,8.0,1
11.0,10.0,0.0,1
34.0,45.0,28.0,1
19.0,40.0,10.0,1
9.0,12.0,3.0,1
123.0,27.0,142.0,1
17.0,45.0,8.0,1
75.0,56.0,85.0,1
60.0,32.0,24.0,1
118.0,37.0,13.0,1
3.0,13.0,5.0,1
84.0,53.0,26.0,1
30.0,34.0,25.0,1
167.0,24.0,93.0,1
7.0,24.0,4.0,1
18.0,14.0,7.0,1
5.0,6.0,1.0,1
62.0,18.0,47.0,1
16.0,18.0,12.0,1
68.0,38.0,25.0,1
20.0,16.0,4.0,1
11.0,9.0,5.0,1
13.0,34.0,5.0,1
9.0,14.0,3.0,1
3.0,9.0,8.0,1
26.0,17.0,17.0,1
11.0,36.0,12.0,1
108.0,74.0,72.0,1
